"class","order","family","genus","species","target_status","Surf zone","Kelp forest","Shallow reef","Deep reef"
"Actinopterygii","Scorpaeniformes","Hexagrammidae","Oxylebius","pictus","Nontargeted",NA,"X",NA,NA
"Actinopterygii","Perciformes","Embiotocidae","Phanerodon","furcatus","Nontargeted",NA,"X",NA,"X"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","auriculatus","Targeted",NA,"X","X",NA
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","chrysomelas","Targeted",NA,"X","X",NA
"Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","anale","Nontargeted",NA,"X",NA,NA
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","caurinus","Targeted",NA,"X","X",NA
"Actinopterygii","Scorpaeniformes","Cottidae","Scorpaenichthys","marmoratus","Targeted",NA,"X",NA,NA
"Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","argenteum","Nontargeted",NA,"X",NA,NA
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","paucispinis","Targeted",NA,"X","X",NA
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","entomelas","Targeted",NA,"X","X",NA
